variable,x,y
layer.3,-0.08424915691331082,0.006520493421703577
layer.3,-0.08188438801825032,0.006520493421703577
layer.3,-0.07951961912318982,0.006520493421703577
layer.3,-0.07715485022812932,0.006520493421703577
layer.3,-0.0747900813330688,0.006520493421703577
layer.3,-0.0724253124380083,0.006520493421703577
layer.3,-0.0700605435429478,0.006520493421703577
layer.3,-0.0676957746478873,0.006520493421703577
layer.3,-0.0653310057528268,0.006520493421703577
layer.3,-0.0629662368577663,0.006520493421703577
layer.3,-0.060601467962705796,0.006520493421703577
layer.3,-0.058236699067645295,0.006520493421703577
layer.3,-0.05587193017258479,0.006520493421703577
layer.3,-0.053507161277524286,0.006520493421703577
layer.3,-0.051142392382463785,0.006520493421703577
layer.3,-0.04877762348740328,0.006520493421703577
layer.3,-0.046412854592342775,0.006520493421703577
layer.3,-0.044048085697282274,0.006520493421703577
layer.3,-0.041683316802221766,0.006520493421703577
layer.3,-0.03931854790716127,0.006520493421703577
layer.3,-0.036953779012100764,0.006520493421703577
layer.3,-0.03458901011704026,0.006520493421703577
layer.3,-0.03222424122197976,0.006520493421703577
layer.3,-0.029859472326919254,0.006520493421703577
layer.3,-0.027494703431858752,0.006520493421703577
layer.3,-0.02512993453679825,0.006520493421703577
layer.3,-0.02276516564173775,0.006520493421703577
layer.3,-0.02040039674667725,0.006520493421703577
layer.3,-0.018035627851616748,0.006520493421703577
layer.3,-0.015670858956556233,0.006520493421703577
layer.3,-0.013306090061495732,0.006520493421703577
layer.3,-0.010941321166435244,0.006520493421703577
layer.3,-0.00857655227137473,0.006520493421703577
layer.3,-0.006211783376314228,0.006520493421703577
layer.3,-0.003847014481253727,0.006520493421703577
layer.3,-0.001482245586193226,0.006520493421703577
layer.3,8.82523308867289E-4,0.006520493421703577
layer.3,0.0032472922039277763,0.006520493421703577
layer.3,0.005612061098988277,0.006520493421703577
layer.3,0.007976829994048792,0.006520493421703577
layer.3,0.010341598889109294,0.006520493421703577
layer.3,0.012706367784169795,0.006520493421703577
layer.3,0.015071136679230296,0.0065763904713094234
layer.3,0.01743590557429081,0.0067469533532857895
layer.3,0.019800674469351298,0.0069219088181853294
layer.3,0.0221654433644118,0.0071013690903782845
layer.3,0.024530212259472314,0.00728544732555747
layer.3,0.0268949811545328,0.007474261801689863
layer.3,0.029259750049593317,0.007667931262403727
layer.3,0.03162451894465382,0.007866580039262772
layer.3,0.03398928783971432,0.008070332929491997
layer.3,0.03635405673477482,0.008279318921267986
layer.3,0.03871882562983532,0.008493670262396336
layer.3,0.04108359452489581,0.008713522925972939
layer.3,0.04344836341995632,0.008939014747738838
layer.3,0.04581313231501681,0.00917028822004795
layer.3,0.048177901210077326,0.009407487697899342
layer.3,0.05054267010513784,0.009650764055550098
layer.3,0.052907439000198356,0.009900267235934734
