variable,x,y
layer.3,-0.08424915691331082,0.0017098499229177833
layer.3,-0.08188438801825032,0.0017098499229177833
layer.3,-0.07951961912318982,0.0017098499229177833
layer.3,-0.07715485022812932,0.0017098499229177833
layer.3,-0.0747900813330688,0.0017098499229177833
layer.3,-0.0724253124380083,0.0017098499229177833
layer.3,-0.0700605435429478,0.0017098499229177833
layer.3,-0.0676957746478873,0.0017098499229177833
layer.3,-0.0653310057528268,0.0017098499229177833
layer.3,-0.0629662368577663,0.0017098499229177833
layer.3,-0.060601467962705796,0.0017098499229177833
layer.3,-0.058236699067645295,0.0017098499229177833
layer.3,-0.05587193017258479,0.0017098499229177833
layer.3,-0.053507161277524286,0.0017098499229177833
layer.3,-0.051142392382463785,0.0017098499229177833
layer.3,-0.04877762348740328,0.0017098499229177833
layer.3,-0.046412854592342775,0.0017098499229177833
layer.3,-0.044048085697282274,0.0017098499229177833
layer.3,-0.041683316802221766,0.0017098499229177833
layer.3,-0.03931854790716127,0.0017098499229177833
layer.3,-0.036953779012100764,0.0017098499229177833
layer.3,-0.03458901011704026,0.0017098499229177833
layer.3,-0.03222424122197976,0.0017098499229177833
layer.3,-0.029859472326919254,0.0017098499229177833
layer.3,-0.027494703431858752,0.0017098499229177833
layer.3,-0.02512993453679825,0.0017098499229177833
layer.3,-0.02276516564173775,0.0017098499229177833
layer.3,-0.02040039674667725,0.0017098499229177833
layer.3,-0.018035627851616748,0.0017098499229177833
layer.3,-0.015670858956556233,0.0017098499229177833
layer.3,-0.013306090061495732,0.0017098499229177833
layer.3,-0.010941321166435244,0.0017098499229177833
layer.3,-0.00857655227137473,0.0017098499229177833
layer.3,-0.006211783376314228,0.0017098499229177833
layer.3,-0.003847014481253727,0.0017098499229177833
layer.3,-0.001482245586193226,0.0017098499229177833
layer.3,8.82523308867289E-4,0.0017098499229177833
layer.3,0.0032472922039277763,0.0017098499229177833
layer.3,0.005612061098988277,0.0017098499229177833
layer.3,0.007976829994048792,0.0017098499229177833
layer.3,0.010341598889109294,0.0017098499229177833
layer.3,0.012706367784169795,0.0017098499229177833
layer.3,0.015071136679230296,0.0017273948760703206
layer.3,0.01743590557429081,0.0017811154248192906
layer.3,0.019800674469351298,0.0018365035066381097
layer.3,0.0221654433644118,0.001893610693514347
layer.3,0.024530212259472314,0.0019524903036653996
layer.3,0.0268949811545328,0.002013196935877204
layer.3,0.029259750049593317,0.002075787167996168
layer.3,0.03162451894465382,0.002140318974852562
layer.3,0.03398928783971432,0.0022068528924137354
layer.3,0.03635405673477482,0.0022754501551389694
layer.3,0.03871882562983532,0.002346174558624625
layer.3,0.04108359452489581,0.002419091761112213
layer.3,0.04344836341995632,0.00249426974914968
layer.3,0.04581313231501681,0.002571777906268835
layer.3,0.048177901210077326,0.0026516884099692106
layer.3,0.05054267010513784,0.0027340748347342014
layer.3,0.052907439000198356,0.0028190137818455696
layer.3,0.05527220789525884,0.0029065837152302265
layer.3,0.05763697679031936,0.0029968658927828074
layer.3,0.060001745685379845,0.003089943900704384
layer.3,0.06236651458044033,0.003185903187841177
layer.3,0.06473128347550085,0.0032848326954990625
layer.3,0.06709605237056136,0.0033868239261209965
layer.3,0.06946082126562188,0.0034919707104563713
layer.3,0.07182559016068236,0.0036003701388835907
layer.3,0.07419035905574288,0.003712121630087495
layer.3,0.07655512795080337,0.0038273287937045097
layer.3,0.07891989684586385,0.003946097567677498
