variable,x,y
layer.3,-0.08424915691331082,0.0023026173003017902
layer.3,-0.08188438801825032,0.0023026173003017902
layer.3,-0.07951961912318982,0.0023026173003017902
layer.3,-0.07715485022812932,0.0023026173003017902
layer.3,-0.0747900813330688,0.0023026173003017902
layer.3,-0.0724253124380083,0.0023026173003017902
layer.3,-0.0700605435429478,0.0023026173003017902
layer.3,-0.0676957746478873,0.0023026173003017902
layer.3,-0.0653310057528268,0.0023026173003017902
layer.3,-0.0629662368577663,0.0023026173003017902
layer.3,-0.060601467962705796,0.0023026173003017902
layer.3,-0.058236699067645295,0.0023026173003017902
layer.3,-0.05587193017258479,0.0023026173003017902
layer.3,-0.053507161277524286,0.0023026173003017902
layer.3,-0.051142392382463785,0.0023026173003017902
layer.3,-0.04877762348740328,0.0023026173003017902
layer.3,-0.046412854592342775,0.0023026173003017902
layer.3,-0.044048085697282274,0.0023026173003017902
layer.3,-0.041683316802221766,0.0023026173003017902
layer.3,-0.03931854790716127,0.0023026173003017902
layer.3,-0.036953779012100764,0.0023026173003017902
layer.3,-0.03458901011704026,0.0023026173003017902
layer.3,-0.03222424122197976,0.0023026173003017902
layer.3,-0.029859472326919254,0.0023026173003017902
layer.3,-0.027494703431858752,0.0023026173003017902
layer.3,-0.02512993453679825,0.0023026173003017902
layer.3,-0.02276516564173775,0.0023026173003017902
layer.3,-0.02040039674667725,0.0023026173003017902
layer.3,-0.018035627851616748,0.0023026173003017902
layer.3,-0.015670858956556233,0.0023026173003017902
layer.3,-0.013306090061495732,0.0023026173003017902
layer.3,-0.010941321166435244,0.0023026173003017902
layer.3,-0.00857655227137473,0.0023026173003017902
layer.3,-0.006211783376314228,0.0023026173003017902
layer.3,-0.003847014481253727,0.0023026173003017902
layer.3,-0.001482245586193226,0.0023026173003017902
layer.3,8.82523308867289E-4,0.0023026173003017902
layer.3,0.0032472922039277763,0.0023026173003017902
layer.3,0.005612061098988277,0.0023026173003017902
layer.3,0.007976829994048792,0.0023026173003017902
layer.3,0.010341598889109294,0.0023026173003017902
layer.3,0.012706367784169795,0.0023026173003017902
layer.3,0.015071136679230296,0.0023263529874384403
layer.3,0.01743590557429081,0.002399034332484007
layer.3,0.019800674469351298,0.0024739804212003946
layer.3,0.0221654433644118,0.002551262266933918
layer.3,0.024530212259472314,0.0026309515815228224
layer.3,0.0268949811545328,0.002713123569265008
layer.3,0.029259750049593317,0.0027978545986115932
layer.3,0.03162451894465382,0.002885224064812064
layer.3,0.03398928783971432,0.0029753136914223433
layer.3,0.03635405673477482,0.003068207995966077
layer.3,0.03871882562983532,0.003163993125781417
layer.3,0.04108359452489581,0.00326275872066617
layer.3,0.04344836341995632,0.0033645969815552235
layer.3,0.04581313231501681,0.0034696029033511877
layer.3,0.048177901210077326,0.003577874042093754
layer.3,0.05054267010513784,0.0036895114462822676
layer.3,0.052907439000198356,0.003804618725553155
layer.3,0.05527220789525884,0.003923302982002497
layer.3,0.05763697679031936,0.004045675043016672
layer.3,0.060001745685379845,0.004171847365796566
layer.3,0.06236651458044033,0.0043019382283091545
layer.3,0.06473128347550085,0.004436067305505276
layer.3,0.06709605237056136,0.004574359394609928
layer.3,0.06946082126562188,0.004716942086815834
layer.3,0.07182559016068236,0.0048639471642673016
layer.3,0.07419035905574288,0.0050155106000602245
layer.3,0.07655512795080337,0.005171772558242083
layer.3,0.07891989684586385,0.0053328764624893665
layer.3,0.08128466574092437,0.005498971790075302
